h3_10,kunta,pno,kem_2000,askem_2000,kem_2016,askem_2016,kem_muutos,askem_muutos,palv_pien_2000,palv_2000,kaup_2000,pt_2000,palv_pien_2016,palv_2016,kaup_2016,pt_2016,palv_pien_muutos,palv_muutos,kaup_muutos,pt_muutos
8a1126d31437fff,Helsinki,Helsinki keskusta - Etu-Töölö,25912.0,25912.0,25912.0,25912.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,5.0,3.0,2.0,0.0
8a1126d30297fff,Helsinki,Helsinki keskusta - Etu-Töölö,439.0,0.0,16232.0,16232.0,15793.0,16232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a1126d3300ffff,Helsinki,Helsinki keskusta - Etu-Töölö,52067.0,0.0,52392.0,0.0,325.0,0.0,12.0,463.0,130.0,2.0,9.0,292.0,96.0,0.0,-3.0,-171.0,-34.0,-2.0
8a1126d33167fff,Helsinki,Helsinki keskusta - Etu-Töölö,22310.0,0.0,22403.0,0.0,93.0,0.0,0.0,736.0,4.0,0.0,0.0,25.0,18.0,16.0,0.0,-711.0,14.0,16.0
8a1126d33aaffff,Helsinki,Helsinki keskusta - Etu-Töölö,138.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a1126d33067fff,Helsinki,Helsinki keskusta - Etu-Töölö,43919.0,0.0,47231.0,0.0,3312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a1126d3030ffff,Helsinki,Helsinki keskusta - Etu-Töölö,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
8a1126d33847fff,Helsinki,Helsinki keskusta - Etu-Töölö,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,41.0,0.0,0.0,0.0,39.0,-2.0,0.0
8a1126d338dffff,Helsinki,Helsinki keskusta - Etu-Töölö,24782.0,0.0,24810.0,0.0,28.0,0.0,1.0,276.0,24.0,7.0,4.0,499.0,241.0,0.0,3.0,223.0,217.0,-7.0
8a1126d33a87fff,Helsinki,Helsinki keskusta - Etu-Töölö,11426.0,11377.0,11426.0,11377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a1126d33d6ffff,Helsinki,Helsinki keskusta - Etu-Töölö,29585.0,11966.0,29098.0,11479.0,-487.0,-487.0,8.0,52.0,29.0,0.0,10.0,323.0,61.0,0.0,2.0,271.0,32.0,0.0
8a1126d31c9ffff,Helsinki,Helsinki keskusta - Etu-Töölö,2672.0,2577.0,2672.0,2577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a1126d3306ffff,Helsinki,Helsinki keskusta - Etu-Töölö,33134.0,0.0,33768.0,0.0,634.0,0.0,8.0,45.0,9.0,0.0,18.0,278.0,52.0,2.0,10.0,233.0,43.0,2.0
8a1126d302dffff,Helsinki,Helsinki keskusta - Etu-Töölö,21777.0,18648.0,21777.0,18648.0,0.0,0.0,1.0,12.0,3.0,0.0,5.0,53.0,18.0,0.0,4.0,41.0,15.0,0.0
8a1126d33907fff,Helsinki,Helsinki keskusta - Etu-Töölö,12291.0,6000.0,12291.0,6000.0,0.0,0.0,8.0,14.0,16.0,0.0,2.0,39.0,7.0,0.0,-6.0,25.0,-9.0,0.0
8a1126d338f7fff,Helsinki,Helsinki keskusta - Etu-Töölö,7431.0,0.0,7899.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a1126d338affff,Helsinki,Helsinki keskusta - Etu-Töölö,51789.0,0.0,55003.0,0.0,3214.0,0.0,0.0,33.0,2.0,0.0,23.0,424.0,75.0,4.0,23.0,391.0,73.0,4.0
8a1126d3022ffff,Helsinki,Helsinki keskusta - Etu-Töölö,19678.0,19678.0,19974.0,19974.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a1126d3381ffff,Helsinki,Helsinki keskusta - Etu-Töölö,3240.0,0.0,84497.0,0.0,81257.0,0.0,0.0,140.0,115.0,0.0,13.0,767.0,400.0,62.0,13.0,627.0,285.0,62.0
8a1126d3158ffff,Helsinki,Helsinki keskusta - Etu-Töölö,24090.0,23993.0,24090.0,23993.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,9.0,4.0,0.0,6.0,4.0,4.0,0.0
8a1126d3066ffff,Helsinki,Helsinki keskusta - Etu-Töölö,29495.0,29213.0,29629.0,29347.0,134.0,134.0,1.0,0.0,1.0,0.0,7.0,9.0,1.0,0.0,6.0,9.0,0.0,0.0
